Zip,zindex,di_avg_w,di_num11,di_num12,di_num13,di_num_avg
92394,177100.0,582.0,85.0,83.0,94.0,87.3333333333
92395,171100.0,591.0,698.0,701.0,840.0,746.333333333
92397,242000.0,686.0,17.0,17.0,18.0,17.3333333333
92399,303100.0,628.1,644.0,658.0,731.0,677.666666667
92404,197500.0,572.923076923,884.0,856.0,909.0,883.0
92405,173400.0,543.833333333,441.0,435.0,459.0,445.0
92407,234600.0,662.0,777.0,699.0,789.0,755.0
92408,195700.0,578.333333333,93.0,123.0,148.0,121.333333333
92501,248200.0,658.333333333,130.0,148.0,140.0,139.333333333
92503,292300.0,662.2,1308.0,1406.0,1383.0,1365.66666667
92504,274700.0,662.444444444,809.0,846.0,914.0,856.333333333
92505,301400.0,670.4,658.0,694.0,701.0,684.333333333
92506,371000.0,647.090909091,1054.0,1082.0,1120.0,1085.33333333
92507,280600.0,619.833333333,599.0,549.0,612.0,586.666666667
92508,401300.0,708.833333333,547.0,582.0,640.0,589.666666667
92509,285500.0,641.222222222,1194.0,1231.0,1334.0,1253.0
92530,254000.0,754.0,665.0,856.0,791.0,770.666666667
92532,323300.0,779.0,337.0,521.0,504.0,454.0
92536,308800.0,804.0,18.0,23.0,20.0,20.3333333333
92539,179800.0,606.0,63.0,69.0,73.0,68.3333333333
92543,137100.0,679.0,563.0,602.0,604.0,589.666666667
92544,192300.0,651.0,661.0,687.0,743.0,697.0
92545,211600.0,613.833333333,680.0,674.0,758.0,704.0
92549,229500.0,793.0,31.0,28.0,31.0,30.0
92551,231400.0,612.25,659.0,762.0,790.0,737.0
92553,222100.0,633.0,1190.0,1219.0,1233.0,1214.0
92555,296400.0,659.0,724.0,746.0,760.0,743.333333333
92557,260600.0,634.727272727,897.0,972.0,971.0,946.666666667
92562,366100.0,719.888888889,948.0,1020.0,1063.0,1010.33333333
92563,357400.0,748.583333333,1223.0,1321.0,1419.0,1321.0
92567,262800.0,650.0,78.0,84.0,82.0,81.3333333333
92570,240500.0,615.333333333,708.0,755.0,789.0,750.666666667
92571,227300.0,635.0,537.0,634.0,655.0,608.666666667
92582,234000.0,717.5,77.0,82.0,87.0,82.0
92583,184500.0,640.333333333,630.0,618.0,702.0,650.0
92584,309800.0,716.0,638.0,663.0,715.0,672.0
92585,280300.0,643.2,388.0,430.0,470.0,429.333333333
